Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
501,501,0,0,300060,00000000,c9,00,01
502,502,0,0,300060,00000000,c9,00,01
503,503,0,0,300060,00000000,c9,00,01
504,504,0,0,300060,00000000,c9,00,01
505,505,0,0,300060,00000000,c9,00,01
506,506,0,0,300060,00000000,c9,00,01
507,507,0,0,300060,00000000,c9,00,01
508,508,0,0,300060,00000000,c9,00,01
509,509,0,0,300060,00000000,c9,00,01
510,510,0,0,300060,00000000,c9,00,01
511,511,0,0,300060,00000000,c9,00,01
512,512,1,1,300040,ffffffff,00,00,01
513,513,0,1,300060,ffffffff,00,00,01
514,514,0,0,300080,00000000,00,00,01
515,515,0,0,3000a0,00000000,00,00,01
516,516,0,1,3000c0,ffffffff,00,00,01
517,517,0,1,3000e0,ffffffff,00,00,01
518,518,0,0,300100,00000000,00,00,01
519,519,0,0,300120,00000000,00,00,01
520,520,0,1,300000,ffffffff,00,00,01
521,521,0,1,300020,ffffffff,00,00,01
522,522,0,0,300040,00000000,00,00,01
523,523,0,0,300060,00000000,00,00,01
524,524,0,1,300080,ffffffff,00,00,01
525,525,0,1,3000a0,ffffffff,00,00,01
526,526,0,0,3000c0,00000000,00,00,01
527,527,0,0,3000e0,00000000,01,00,01
528,528,0,1,300140,ffffffff,01,00,01
529,529,0,1,300160,ffffffff,01,00,01
530,530,0,0,300180,00000000,00,00,01
531,531,0,0,3001a0,00000000,02,00,01
532,532,0,1,300240,ffffffff,02,00,01
533,533,0,1,300260,ffffffff,02,00,01
534,534,0,0,300280,00000000,00,00,01
535,535,0,0,3002a0,00000000,01,00,01
536,536,0,1,3001c0,ffffffff,01,00,01
537,537,0,1,3001e0,ffffffff,01,00,01
538,538,0,0,300200,00000000,00,00,01
539,539,0,0,300220,00000000,02,00,01
540,540,0,1,3002c0,ffffffff,02,00,01
541,541,0,1,3002e0,ffffffff,02,00,01
542,542,0,0,300300,00000000,00,00,01
543,543,0,0,300320,00000000,03,00,01
544,544,0,1,300340,ffffffff,03,00,01
545,545,0,1,300360,ffffffff,03,00,01
546,546,0,0,300380,00000000,00,00,01
547,547,0,0,3003a0,00000000,02,00,01
548,548,0,1,300200,ffffffff,02,00,01
549,549,0,1,300220,ffffffff,02,00,01
550,550,0,0,300240,00000000,00,00,01
551,551,0,0,300260,00000000,03,00,01
552,552,0,1,3003c0,ffffffff,03,00,01
553,553,0,1,3003e0,ffffffff,03,00,01
554,554,0,0,300400,00000000,00,00,01
555,555,0,0,300420,00000000,02,00,01
556,556,0,1,300280,ffffffff,02,00,01
